106,1,PG-DGI,ACN
65,1,PG-DGI,ACN
166,1,PG-DGI,ACN
67,1,PG-DAC,SIK
4,1,PG-DMC,SIP
125,1,PG-DAC,SIP
75,1,PG-DBDA,SIP
93,1,PG-DMC,SIP
162,1,PG-DMC,SIP
162,2,PG-DGI,ACN
97,1,PG-DAC,SIP
97,2,PG-DBDA,ACN
97,3,PG-DMC,SIP
54,1,PG-DMC,SIP
54,2,PG-DAC,SIP
54,3,PG-DGI,ACN
168,1,PG-DAC,SIP
172,1,PG-DMC,SIP
102,1,PG-DAC,ACN
102,2,PG-DBDA,ACN
102,3,PG-DAC,SIK
102,4,PG-DMC,SIP
52,1,PG-DGI,ACN
52,2,PG-DAC,SIP
52,3,PG-DMC,SIP
28,1,PG-DBDA,ACP
28,2,PG-DBDA,ACN
28,3,PG-DGI,ACN
113,1,PG-DAC,SIP
61,1,PG-DAC,SIK
31,1,PG-DBDA,ACN
120,1,PG-DGI,ACN
120,2,PG-DMC,SIP
33,1,PG-DAC,SIK
33,2,PG-DMC,SIP
39,1,PG-DAC,SIP
39,2,PG-DAC,ACN
39,3,PG-DGI,ACN
148,1,PG-DMC,SIP
78,1,PG-DAC,ACN
19,1,PG-DBDA,ACN
19,2,PG-DAC,SIK
19,3,PG-DMC,SIP
164,1,PG-DAC,SIK
164,2,PG-DGI,ACN
164,3,PG-DAC,ACP
135,1,PG-DAC,SIK
24,1,PG-DAC,ACP
32,1,PG-DBDA,SIP
170,1,PG-DGI,ACN
167,1,PG-DMC,SIP
167,2,PG-DAC,ACP
79,1,PG-DBDA,ACP
79,2,PG-DMC,SIP
59,1,PG-DMC,SIP
141,1,PG-DAC,ACN
145,1,PG-DGI,ACN
145,2,PG-DMC,SIP
100,1,PG-DBDA,SIP
103,1,PG-DMC,SIP
103,2,PG-DAC,SIP
105,1,PG-DGI,ACN
105,2,PG-DBDA,ACP
105,3,PG-DAC,ACN
69,1,PG-DMC,SIP
69,2,PG-DAC,ACN
58,1,PG-DAC,SIK
118,1,PG-DAC,ACN
118,2,PG-DGI,ACN
163,1,PG-DAC,SIK
30,1,PG-DAC,SIP
77,1,PG-DBDA,ACN
77,2,PG-DGI,ACN
114,1,PG-DBDA,SIP
11,1,PG-DBDA,SIP
108,1,PG-DAC,SIK
108,2,PG-DESD,ACP
174,1,PG-DAC,ACP
14,1,PG-DBDA,ACP
14,2,PG-DBDA,ACN
14,3,PG-DGI,ACN
14,4,PG-DMC,SIP
14,5,PG-DAC,SIK
99,1,PG-DMC,SIP
26,1,PG-DAC,ACN
26,2,PG-DMC,SIP
26,3,PG-DAC,SIK
89,1,PG-DESD,ACN
89,2,PG-DESD,ACP
89,3,PG-DMC,SIP
89,4,PG-DGI,ACN
37,1,PG-DAC,ACP
37,2,PG-DAC,ACN
37,3,PG-DESD,ACN
124,1,PG-DAC,ACN
2,1,PG-DAC,SIP
2,2,PG-DAC,SIK
137,1,PG-DGI,ACN
137,2,PG-DAC,ACN
137,3,PG-DBDA,ACN
36,1,PG-DBDA,SIP
36,2,PG-DESD,SIP
36,3,PG-DAC,SIP
36,4,PG-DGI,ACN
73,1,PG-DBDA,SIP
47,1,PG-DMC,SIP
101,1,PG-DBDA,ACP
110,1,PG-DBDA,ACN
110,2,PG-DBDA,SIP
122,1,PG-DBDA,ACP
121,1,PG-DMC,SIP
121,2,PG-DESD,ACP
121,3,PG-DGI,ACN
150,1,PG-DESD,ACP
70,1,PG-DMC,SIP
70,2,PG-DGI,ACN
70,3,PG-DESD,ACP
70,4,PG-DBDA,ACN
76,1,PG-DAC,SIP
72,1,PG-DMC,SIP
72,2,PG-DESD,ACP
72,3,PG-DBDA,ACN
72,4,PG-DESD,ACN
156,1,PG-DESD,ACP
156,2,PG-DGI,ACN
64,1,PG-DAC,SIK
64,2,PG-DBDA,ACN
119,1,PG-DESD,ACN
115,1,PG-DAC,ACN
115,2,PG-DAC,SIP
138,1,PG-DBDA,SIP
138,2,PG-DBDA,ACN
16,1,PG-DAC,SIK
16,2,PG-DBDA,ACP
16,3,PG-DAC,ACN
3,1,PG-DMC,SIP
3,2,PG-DAC,ACN
132,1,PG-DAC,SIK
50,1,PG-DAC,ACN
50,2,PG-DAC,SIP
50,3,PG-DMC,SIP
50,4,PG-DESD,ACP
41,1,PG-DAC,ACN
84,1,PG-DBDA,SIP
84,2,PG-DAC,SIP
84,3,PG-DESD,SIP
84,4,PG-DGI,ACN
46,1,PG-DAC,SIK
46,2,PG-DAC,SIP
98,1,PG-DESD,ACP
98,2,PG-DGI,ACN
98,3,PG-DESD,SIP
63,1,PG-DMC,SIP
63,2,PG-DAC,ACN
63,3,PG-DESD,ACP
63,4,PG-DBDA,SIP
159,1,PG-DMC,SIP
94,1,PG-DBDA,ACP
126,1,PG-DBDA,SIP
126,2,PG-DGI,ACN
53,1,PG-DAC,ACN
80,1,PG-DMC,SIP
80,2,PG-DGI,ACN
80,3,PG-DBDA,ACN
17,1,PG-DAC,SIK
152,1,PG-DMC,SIP
173,1,PG-DGI,ACN
173,2,PG-DAC,SIK
43,1,PG-DAC,SIK
43,2,PG-DBDA,ACN
43,3,PG-DAC,ACP
18,1,PG-DBDA,ACN
18,2,PG-DBDA,SIP
18,3,PG-DESD,SIP
10,1,PG-DAC,SIP
90,1,PG-DAC,ACN
90,2,PG-DGI,ACN
12,1,PG-DMC,SIP
12,2,PG-DAC,ACN
12,3,PG-DESD,ACP
45,1,PG-DBDA,ACN
45,2,PG-DMC,SIP
45,3,PG-DGI,ACN
45,4,PG-DAC,ACP
134,1,PG-DBDA,ACP
134,2,PG-DAC,SIP
134,3,PG-DBDA,ACN
157,1,PG-DGI,ACN
157,2,PG-DBDA,ACN
157,3,PG-DBDA,ACP
20,1,PG-DAC,SIK
83,1,PG-DMC,SIP
154,1,PG-DMC,SIP
130,1,PG-DBDA,ACN
57,1,PG-DAC,SIK
57,2,PG-DGI,ACN
57,3,PG-DBDA,ACN
57,4,PG-DESD,ACP
160,1,PG-DAC,SIP
160,2,PG-DAC,ACP
48,1,PG-DGI,ACN
48,2,PG-DBDA,ACP
48,3,PG-DMC,SIP
6,1,PG-DESD,SIP
6,2,PG-DBDA,ACP
6,3,PG-DBDA,ACN
95,1,PG-DMC,SIP
95,2,PG-DGI,ACN
95,3,PG-DAC,SIP
95,4,PG-DBDA,ACN
44,1,PG-DBDA,ACP
153,1,PG-DGI,ACN
153,2,PG-DESD,ACP
153,3,PG-DMC,SIP
147,1,PG-DAC,ACN
55,1,PG-DAC,SIK
55,2,PG-DMC,SIP
55,3,PG-DGI,ACN
55,4,PG-DESD,ACN
21,1,PG-DAC,SIK
21,2,PG-DMC,SIP
13,1,PG-DBDA,SIP
155,1,PG-DBDA,ACP
155,2,PG-DBDA,SIP
107,1,PG-DAC,SIK
165,1,PG-DAC,SIP
123,1,PG-DAC,SIP
123,2,PG-DESD,SIP
158,1,PG-DAC,ACN
